name,abbreviation,locale,country,track_name,is_active,latitude,longitude
AIKEN,AIK,,US,AIKEN,,,
AJAX DOWNS,AJX,,CA,AJAX DOWNS,,,
ALBERTA DOWNS,ABT,,CA,ALBERTA DOWNS,,,
ALBUQUERQUE,ALB,NM,US,ALBUQUERQUE,,,
ANTHONY DOWNS,ANF,,US,ANTHONY DOWNS,,,
AQUEDUCT,AQU,NY,US,AQUEDUCT RACETRACK,1,40.672961,-73.831614
ARAPAHOE PARK,ARP,CO,US,ARAPAHOE PARK,1,,
ARLINGTON,AP,IL,US,ARLINGTON INTERNATIONAL RACECOURSE,1,42.092438,-88.010176
ASSINIBOIA DOWNS,ASD,MB,CA,ASSINIBOIA DOWNS,1,49.889437,-97.329211
ATLANTA,ATH,,US,ATLANTA,,,
ATLANTIC CITY,ATL,NJ,US,ATLANTIC CITY RACE COURSE,0,39.452495,-74.647082
BARRETTS RACE MEET AT FAIRPLEX,BSR,,US,BARRETTS RACE MEET AT FAIRPLEX,,,
BAY MEADOWS,BM,CA,US,BAY MEADOWS,0,,
BAY MEADOWS FAIR,BMF,,US,BAY MEADOWS FAIR,,,
BELMONT PARK,BEL,NY,US,BELMONT PARK,1,40.715387,-73.72221
BELTERRA PARK,BTP,OH,US,BELTERRA PARK GAMING AND ENTERTAINMENT CENTER,1,39.0534291,-84.413975
BETFAIR HOLLYWOOD PARK,BHP,CA,US,BETFAIR HOLLYWOOD PARK,0,,
BEULAH PARK,BEU,OH,US,BEULAH PARK,1,39.892716,-83.104495
BLACK FOOT,BKF,,US,BLACK FOOT,,,
BLUE RIBBON DOWNS,BRD,,US,BLUE RIBBON DOWNS,,,
BROOKHILL FARM,BRO,,US,BROOKHILL FARM,,,
BROWN COUNTY FAIR,BCF,,US,BROWN COUNTY FAIR,,,
CALDER RACE COURSE,CRC,FL,US,CALDER CASINO AND RACE COURSE,1,25.970054,-80.240986
CAMARERO RACE TRACK,CMR,PR,US,CAMARERO RACE TRACK,1,,
CAMDEN,CAM,,US,CAMDEN,,,
CANTERBURY PARK,CBY,MN,US,CANTERBURY PARK,1,44.78988,-93.48043
CASSIA COUNTY FAIR,CAS,,US,CASSIA COUNTY FAIR,,,
CENTRAL WYOMING FAIR,CWF,,US,CENTRAL WYOMING FAIR,,,
CHARLOTTE,CHL,,US,CHARLOTTE,,,
CHIPPEWA DOWNS,CPW,,US,CHIPPEWA DOWNS,,,
CHURCHILL DOWNS,CD,KY,US,CHURCHILL DOWNS,1,38.186749,-85.707049
CLEMMONS,CLM,,US,CLEMMONS,,,
COLONIAL DOWNS,CNL,VA,US,COLONIAL DOWNS,1,37.487425,-77.008195
COLUMBUS,CLS,NE,US,COLUMBUS,,,
CROOKED RIVER ROUNDUP,PRV,,US,CROOKED RIVER ROUNDUP,,,
DAYTON,DAY,,US,DAYTON,,,
DEL MAR,DMR,CA,US,DEL MAR,1,32.976367,-117.262756
DELAWARE PARK,DEL,DE,US,DELAWARE PARK,1,39.705878,-75.660139
DELTA DOWNS,DED,LA,US,DELTA DOWNS RACETRACK,1,30.197696,-93.622098
DESERT PARK,DEP,,CA,DESERT PARK,,,
DIXIE DOWNS,DXD,,US,DIXIE DOWNS,,,
EASTERN OREGON LIVESTOCK SHOW,UN,,US,EASTERN OREGON LIVESTOCK SHOW,,,
ELKO COUNTY FAIR,ELK,,US,ELKO COUNTY FAIR,,,
ELLIS PARK,ELP,KY,US,ELLIS PARK,1,37.885724,-87.560338
EMERALD DOWNS,EMD,WA,US,EMERALD DOWNS,1,47.327829,-122.23805
EMMETT,EMT,,US,EMMETT,,,
EUREKA,EUR,,US,EUREKA,,,
EVANGELINE DOWNS,EVD,LA,US,EVANGELINE DOWNS,1,30.526222,-92.060254
FAIR GROUNDS,FG,LA,US,FAIR GROUNDS RACE COURSE AND SLOTS,1,29.983682,-90.080895
FAIR HILL,FAI,,US,FAIR HILL,,,
FAIR MEADOWS,FMT,OK,US,FAIR MEADOWS,,,
FAIR PLAY PARK,FPL,,US,FAIR PLAY PARK,,,
FAIRFAX,FAX,,US,FAIRFAX,,,
FAIRMOUNT PARK,FP,IL,US,FAIRMOUNT PARK,1,38.659623,-90.037089
