name,abbreviation,locale,country,track_name,is_active,latitude,longitude
AIKEN,AIK,SC,US,AIKEN,,33.543541,-81.698456
AJAX DOWNS,AJX,ON,CA,AJAX DOWNS,,43.870364,-79.000626
ALBERTA DOWNS,ABT,AB,CA,ALBERTA DOWNS,,52.462965,-113.753386
ALBUQUERQUE,ALB,NM,US,ALBUQUERQUE,,35.077985,-106.575966
ANTHONY DOWNS,ANF,,US,ANTHONY DOWNS,,,
AQUEDUCT,AQU,NY,US,AQUEDUCT RACETRACK,1,40.672961,-73.831614
ARAPAHOE PARK,ARP,CO,US,ARAPAHOE PARK,1,39.627441,-104.686403
ARLINGTON,AP,IL,US,ARLINGTON INTERNATIONAL RACECOURSE,1,42.092438,-88.010176
ASSINIBOIA DOWNS,ASD,MB,CA,ASSINIBOIA DOWNS,1,49.889437,-97.329211
ATLANTA,ATH,GA,US,ATLANTA,,33.836772,-84.375601
ATLANTIC CITY,ATL,NJ,US,ATLANTIC CITY RACE COURSE,0,39.452495,-74.647082
BARRETTS RACE MEET AT FAIRPLEX,BSR,CA,US,BARRETTS RACE MEET AT FAIRPLEX,,34.086502,-117.76125
BAY MEADOWS,BM,CA,US,BAY MEADOWS,0,,
BAY MEADOWS FAIR,BMF,,US,BAY MEADOWS FAIR,,,
BELMONT PARK,BEL,NY,US,BELMONT PARK,1,40.715387,-73.72221
BELTERRA PARK,BTP,OH,US,BELTERRA PARK GAMING AND ENTERTAINMENT CENTER,1,39.0534291,-84.413975
BETFAIR HOLLYWOOD PARK,BHP,CA,US,BETFAIR HOLLYWOOD PARK,0,33.950551,-118.343868
BEULAH PARK,BEU,OH,US,BEULAH PARK,1,39.892716,-83.104495
BLACK FOOT,BKF,ID,US,BLACK FOOT,,43.193914,-112.340355
BLUE RIBBON DOWNS,BRD,,US,BLUE RIBBON DOWNS,,,
BROOKHILL FARM,BRO,,US,BROOKHILL FARM,,,
BROWN COUNTY FAIR,BCF,SD,US,BROWN COUNTY FAIR,,45.490765,-98.486681
